umsonst	/ʊmˈzɔnst/	ipa	free of charge, gratis
frei	/fraɪ̯/	ipa	free; unenslaved; unimprisoned
gratis	/ˈɡʁaːtɪs/	ipa	free, without charge
synonym	/zynoˈnyːm/	ipa	synonymous
synonym	[zy.no-]	ipa	synonymous
synonym	[ˌzʏ.no-]	ipa	synonymous
November	/noˈvɛmbɐ/	ipa	November
September	/zɛpˈtɛmbɐ/	ipa	September
April	/aˈpʁɪl/	ipa	April
ab-	/ap/	ipa	Standard German	Separable verb prefix that indicates removal or quitting, off, away.
ab-	[ʔäpʰ]	ipa	Standard German	Separable verb prefix that indicates removal or quitting, off, away.
ab-	/ab̥/	ipa	Switzerland	Separable verb prefix that indicates removal or quitting, off, away.
Fabian	/ˈfaːbian/	ipa	A male given name
abaxial	/apʔaˈksi̯aːl/	ipa	abaxial
a-	/a/	ipa	a- (not, without, opposite of)
ab	/ap/	ipa	Germany	Beginning at that time or location; from.
ab	/ɑp/	ipa	Germany	Beginning at that time or location; from.
ab	/ɑb̥/	ipa	Switzerland|Austro-Bavarian	Beginning at that time or location; from.
ab	/ap/	ipa	Germany	off; not attached to anything anymore
ab	/ɑp/	ipa	Germany	off; not attached to anything anymore
ab	/ɑb̥/	ipa	Switzerland|Austro-Bavarian	off; not attached to anything anymore
abdominal	/apdomiˈnaːl/	ipa	abdominal
A	/ʔaː/	ipa	The first letter of the German alphabet, written in the Latin script.
A	/ʔaː/	ipa	A
A	/ʔaː/	ipa	Abbreviation of A-Dur.
abstinent	/apstiˈnɛnt/	ipa	abstinent, teetotal
nu	/nuː/	ipa	Alternative form of nun
nu	[nɵ]	ipa	Alternative form of nun
nu	/nuː/	ipa	Alternative form of nun
nu	[nɵ]	ipa	Alternative form of nun
nu	/nuː/	ipa	yes; yeah; expresses agreement or understanding
nu	[nɵ]	ipa	yes; yeah; expresses agreement or understanding
Haus	/haʊ̯s/	ipa	house
Haus	[haʊ̯s]	ipa	house
Haus	/haʊ̯s/	ipa	A municipality of Styria, Austria.
Haus	[haʊ̯s]	ipa	A municipality of Styria, Austria.
y	/yː/	ipa	phoneme	the letter y
y	/y/	ipa	phoneme	the letter y
y	/ʏ/	ipa	phoneme	the letter y
y	/i/	ipa	phoneme	the letter y
y	/ɪ/	ipa	phoneme	the letter y
y	/j/	ipa	phoneme	the letter y
y	/ˈʏpsilɔn/	ipa	letter name	the letter y
die	/diː/	ipa	nominative/accusative singular feminine
die	/dɪ/	ipa	nominative/accusative singular feminine
die	/diː/	ipa	nominative/accusative singular feminine
die	/dɪ/	ipa	nominative/accusative singular feminine
dat	/dat/	ipa	Alternative form of das
dat	/dɐt/	ipa	Berlin-Brandenburg	Alternative form of das
dat	/dət/	ipa	Berlin-Brandenburg	Alternative form of das
dat	/dat/	ipa	Alternative form of das
dat	/dɐt/	ipa	Berlin-Brandenburg	Alternative form of das
dat	/dət/	ipa	Berlin-Brandenburg	Alternative form of das
dat	/dat/	ipa	Alternative form of dass
dat	/dɐt/	ipa	Berlin-Brandenburg	Alternative form of dass
dat	/dət/	ipa	Berlin-Brandenburg	Alternative form of dass
plural	/pluˈʁaːl/	ipa	pluralistic
dies	[ˈdiːs]	ipa	Alternative form of dieses
in	/ʔɪn/	ipa	in, within, at, to, (contained by; within)
in	/ʔɪn/	ipa	Contraction of in den.
in	/ʔɪn/	ipa	in, popular (in fashion)
orange	/oˈʁãːʃ/	ipa	predicative only	orange
orange	/oˈʁaŋʃ/	ipa	predicative only	orange
orange	/oˈʁɔ̃ːʃ/	ipa	predicative only	orange
orange	/oˈʁɔŋʃ/	ipa	predicative only	orange
orange	/oˈʁãːʒə/	ipa	non-predicative feminine and plural forms	orange
orange	/oˈʁaŋʒə/	ipa	non-predicative feminine and plural forms	orange
orange	/oˈʁɔ̃ːʒə/	ipa	non-predicative feminine and plural forms	orange
orange	/oˈʁɔŋʒə/	ipa	non-predicative feminine and plural forms	orange
spring	/ʃpʀɪŋ/	ipa	singular imperative of springen
Dezember	/deˈtsɛmbɐ/	ipa	December
zwei	/t͡svaɪ̯/	ipa	two (numerical value represented by the Arabic numeral 2; or describing a set with two components)
zwei	[t͡sʋaɪ̯]	ipa	two (numerical value represented by the Arabic numeral 2; or describing a set with two components)
flatulent	/flatuˈlɛnt/	ipa	flatulent
Japan	/ˈjaːpan/	ipa	Japan
NASA	/ˈnaːza/	ipa	NASA (abbreviation of National Aeronautics and Space Administration)
man	/man/	ipa	one, you (indefinite pronoun; construed as a third-person singular)
man	/man/	ipa	just; only
feist	/faɪ̯st/	ipa	fat (of a person)
feist	/faɪ̯st/	ipa	second-person singular present of feien
Esperanto	/ˌɛspəˈʁanto/	ipa	Esperanto
dick	/dɪk/	ipa	thick
bot	[boːt]	ipa	first/third-person singular preterite of bieten
LED	/ˌɛl ˌeː ˈdeː/	ipa	LED (light-emitting diode)
DVD	/ˌdeːfaʊ̯ˈdeː/	ipa	DVD
EU	[eːˈʔuː]	ipa	EU; initialism of Europäische Union (“European Union")
hell	/hɛl/	ipa	clear, bright, light
war	/vaːɐ̯/	ipa	first-person singular preterite of sein
Uhr	/uːr/	ipa	hours, o'clock (indicates the time within a twelve- or twenty-four-hour period)
Uhr	[ʔu(ː)ɐ̯]	ipa	hours, o'clock (indicates the time within a twelve- or twenty-four-hour period)
Malaysia	[maˈlaɪ̯zi̯a]	ipa	Malaysia (a country in Asia)
urban	/ʊʁˈbaːn/	ipa	urban
urban	[ʊɐ̯ˈbaːn]	ipa	urban
Israel	/ˈɪsʀaeːl/	ipa	Israel
SMS	/ˌɛsʔɛmˈʔɛs/	ipa	SMS (text message)
SMS	/ˌɛsɛˈmɛs/	ipa	SMS (text message)
SMS	/-se-/	ipa	SMS (text message)
SMS	/-zɛ-/	ipa	SMS (text message)
SMS	/-ze-/	ipa	SMS (text message)
SMS	/ˌɛsʔɛmˈʔɛs/	ipa	SMS — Seiner Majestät Schiff (His Majesty's Ship)
SMS	/ˌɛsɛˈmɛs/	ipa	SMS — Seiner Majestät Schiff (His Majesty's Ship)
SMS	/-se-/	ipa	SMS — Seiner Majestät Schiff (His Majesty's Ship)
SMS	/-zɛ-/	ipa	SMS — Seiner Majestät Schiff (His Majesty's Ship)
SMS	/-ze-/	ipa	SMS — Seiner Majestät Schiff (His Majesty's Ship)
um	/ʊm/	ipa	about
um	/ʊm/	ipa	in order to, so as to
um	/ʊm/	ipa	up, in the sense of finished
um	/ʊm/	ipa	around, about
also	/ˈʔalzoː/	ipa	so, therefore
also	/ˈʔalzoː/	ipa	then (Used to connect a sentence with previous information.)
also	/ˈʔalzoː/	ipa	alright (Indicates agreement with something.)
digital	/diɡiˈtaːl/	ipa	digital
China	/ˈçiːna/	ipa	China (a country in eastern Asia)
China	/ˈʃiːna/	ipa	China (a country in eastern Asia)
China	/ˈkiːna/	ipa	southern Germany|Austria|Switzerland	China (a country in eastern Asia)
Bahrain	/baˈʁaɪ̯n/	ipa	Bahrain (a country in Asia)
Bahrain	/baχˈʁaɪ̯n/	ipa	Bahrain (a country in Asia)
Angola	/aŋˈɡoːlaː/	ipa	Angola (a country in Africa)
Bhutan	/buˈtaːn/	ipa	Bhutan (a country in Asia)
Chile	/ˈt͡ʃiːlə/	ipa	Chile (a country in South America)
Chile	/ˈçiːlə/	ipa	Chile (a country in South America)
pseudonym	[psɔɪ̯doˈnyːm]	ipa	pseudonymous
Ecuador	/eku̯aˈdoːɐ̯/	ipa	Ecuador (a country in South America)
Haiti	/haˈiːti/	ipa	Haiti (a country in the Caribbean)
Ghana	/ˈɡaːna/	ipa	Ghana (a country in West Africa)
Guyana	/ɡuˈjaːna/	ipa	Guyana (a country in South America)
Kuwait	/ˈkuːvaɪ̯t/	ipa	Kuwait (a country in Western Asia, in the Middle East)
Kuwait	/ˈkuːvɛɪ̯t/	ipa	Kuwait (a country in Western Asia, in the Middle East)
Kuwait	/kuˈvɛɪ̯t/	ipa	Kuwait (a country in Western Asia, in the Middle East)
Kuwait	/kuˈvaɪ̯t/	ipa	Kuwait (a country in Western Asia, in the Middle East)
Liberia	/liˈbeːʁia/	ipa	Liberia (a country in West Africa)
Iran	/iˈʁaːn/	ipa	Iran
Iran	/iˈʁaːn/	ipa	Iran
Liechtenstein	/ˈlɪçtn̩ˌʃtaɪ̯n/	ipa	Country in Europe. Official name: Fürstentum Liechtenstein.
Nicaragua	/nikaˈʁaːɡua/	ipa	Nicaragua (a country in Central America)
Mauritius	/maʊˈʁiːt͡sjus/	ipa	Mauritius
Namibia	/naˈmiːbia/	ipa	Namibia
Niger	[ˈniːɡɐ]	ipa	Niger (a country in West Africa)
Niger	[ˈniːɡɐ]	ipa	Niger (a major river in West Africa)
Nigeria	/niˈɡeːʁia/	ipa	Nigeria (a country in West Africa)
Peru	/peˈʁuː/	ipa	Peru (a country in South America)
Sudan	/zuˈdaːn/	ipa	Sudan
Paraguay	/ˈpa(ː)raˌɡu̯aɪ̯/	ipa	Paraguay (a country in South America)
Paraguay	[ˈpaʁaˌɡʋaɪ̯]	ipa	Paraguay (a country in South America)
Paraguay	[ˈpaːʁa-]	ipa	Paraguay (a country in South America)
Paraguay	[-ɡuˌaɪ̯]	ipa	Paraguay (a country in South America)
Nepal	/ˈneːpal/	ipa	Nepal
Togo	/ˈtoːɡo/	ipa	Togo (a country in West Africa)
Pakistan	/ˈpaːkɪstaːn/	ipa	Pakistan
Ukraine	/ukʁaˈiːnə/	ipa	Ukraine
Ukraine	/uˈkʁaɪ̯nə/	ipa	Ukraine
Portugal	[ˈpɔɐ̯tuɡal]	ipa	Portugal (a country in Europe)
abundant	/abʊnˈdant/	ipa	abundant
UFO	/ˈuːfo/	ipa	UFO
Vanuatu	/vanuˈaːtuː/	ipa	Vanuatu
Benin	/beˈniːn/	ipa	Benin (a country in West Africa)
Turkmenistan	/tʊʁkˈmeːnɪstaːn/	ipa	Turkmenistan (a country in Central Asia; capital: Ashgabat)
Turkmenistan	/tʊʁkˈmeːnɪstan/	ipa	Turkmenistan (a country in Central Asia; capital: Ashgabat)
Belarus	/ˈbeːlaˌʁʊs/	ipa	Belarus (a country in Europe)
Belarus	/ˈbɛlaˌʁʊs/	ipa	Belarus (a country in Europe)
Schadenfreude	/ˈʃaːdənˌfʁɔʏ̯də/	ipa	malicious enjoyment derived from observing someone else's misfortune; schadenfreude; gloating
Wales	/veːls/	ipa	Wales
Wales	/vɛɪ̯ls/	ipa	Wales
Wales	/wɛɪ̯ls/	ipa	Wales
Svalbard	/ˈsvaːlˌbart/	ipa	Svalbard (archipelago)
Svalbard	[ˈsʋaːlˌbaʁt]	ipa	Svalbard (archipelago)
Svalbard	[-ˌbaɐ̯t]	ipa	Svalbard (archipelago)
Svalbard	[-ˌbaːt]	ipa	Svalbard (archipelago)
Dominica	/doˈmiːnika/	ipa	Dominica (an island and country in the Caribbean)
Eritrea	/eʁiˈtʁeː.a/	ipa	Eritrea
Grenada	/ɡʁeˈnaːda/	ipa	Grenada (an island and country in the Caribbean)
Samoa	/zaˈmoːa/	ipa	Samoa
Jupiter	/ˈjuːpitɐ/	ipa	Jupiter (planet)
mental	[mɛnˈtaːl]	ipa	mental
stand	/ʃtant/	ipa	first/third-person singular preterite of stehen
England	/ˈɛŋlant/	ipa	England
beige	/beːʃ/	ipa	beige
beige	/bɛːʃ/	ipa	beige
beige	/beːʒə/	ipa	beige
beige	/bɛːʒə/	ipa	beige
beige	/beːʃə/	ipa	beige
beige	/bɛːʃə/	ipa	beige
beige	/ˈbaɪ̯ɡə/	ipa	beige
beige	/beːʃ/	ipa	first-person singular present indicative of beigen
beige	/bɛːʃ/	ipa	first-person singular present indicative of beigen
beige	/beːʒə/	ipa	first-person singular present indicative of beigen
beige	/bɛːʒə/	ipa	first-person singular present indicative of beigen
beige	/beːʃə/	ipa	first-person singular present indicative of beigen
beige	/bɛːʃə/	ipa	first-person singular present indicative of beigen
beige	/ˈbaɪ̯ɡə/	ipa	first-person singular present indicative of beigen
pink	/pɪŋk/	ipa	coloured in a strong shade of pink
dual	[duˈaːl]	ipa	dual
irrational	/ˈɪʁat͡si̯onaːl/	ipa	irrational
irrational	/ɪʁat͡si̯oˈnaːl/	ipa	irrational
rational	[ˌʀat͡si̯oˈnaːl]	ipa	rational
parallel	/paʁaˈleːl/	ipa	parallel
Chinese	/çiˈneːzə/	ipa	person from China
Chinese	/ʃiˈneːzə/	ipa	person from China
Chinese	/kiˈneːzə/	ipa	southern Germany|Austria|Switzerland	person from China
X	/ʔɪks/	ipa	The twenty-fourth letter of the German alphabet.
Samstag	/ˈzamstʰaːk/	ipa	Saturday
Samstag	/ˈzamstʰax/	ipa	Saturday
Samstag	/ˈzamstʰaːx/	ipa	Saturday
Samstag	/ˈsamʃtʰaːk/	ipa	Saturday
